交易所,合约,合约名称,品种,合约乘数,开仓费率,开仓费/手,平仓费率,平仓费/手,平今仓费率,平今仓费/手,最新价,成交量,空盘量,1手开仓手续费,1手平仓手续费,1手平今仓手续费,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,做多1手保证金,做空1手保证金,最小跳动价位,1Tick盈亏
SHFE,fu2311,fu2311,fu,10,0.000010,0.0,0.000010,0.0,0.000000,0.0,3664.0000000000005,422127,114607.0,0.3664000000000001,0.3664000000000001,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,6228.800000000001,6228.800000000001,1.0,10.0
CZCE,ZC311,煤11月,ZC,100,0.000000,3.0,0.000000,3.0,0.000000,0.0,801.4,0,0.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,16028.0,16028.0,0.2,20.0
DCE,b2310,豆二2310,b,10,0.000000,2.0,0.000000,2.0,0.000000,2.0,4831.0,24916,11180.0,2.0,2.0,2.0,0.15,0.0,0.15,0.0,7246.5,7246.5,1.0,10.0
CZCE,RS311,菜籽11月,RS,10,0.000000,2.0,0.000000,2.0,0.000000,2.0,6121.0,7,19.0,2.0,2.0,2.0,0.26,0.0,0.26,0.0,15914.6,15914.6,1.0,10.0
CZCE,SA311,纯碱11月,SA,20,0.000200,0.0,0.000200,0.0,0.000200,0.0,2184.0,77146,104080.0,8.736,8.736,8.736,0.16,0.0,0.16,0.0,6988.8,6988.8,1.0,20.0
CZCE,SF311,硅铁11月,SF,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,7550.0,153384,343285.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,7550.0,7550.0,2.0,10.0
CZCE,SM311,锰硅11月,SM,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,7024.0,137766,410275.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,7024.0,7024.0,2.0,10.0
CZCE,SR311,白糖11月,SR,10,0.000000,4.0,0.000000,4.0,0.000000,4.0,6978.0,11558,38983.0,4.0,4.0,4.0,0.13,0.0,0.13,0.0,9071.4,9071.4,1.0,10.0
CZCE,TA311,PTA11月,TA,5,0.000000,4.0,0.000000,4.0,0.000000,4.0,6254.0,200178,692869.0,4.0,4.0,4.0,0.13999999999999999,0.0,0.13999999999999999,0.0,4377.799999999999,4377.799999999999,2.0,10.0
CZCE,UR311,尿素11月,UR,20,0.000000,5.0,0.000000,5.0,0.000000,5.0,2369.0,30771,84784.0,5.0,5.0,5.0,0.13,0.0,0.13,0.0,6159.400000000001,6159.400000000001,1.0,20.0
CZCE,WH311,强麦11月,WH,20,0.000000,5.0,0.000000,5.0,0.000000,5.0,3317.0,0,0.0,5.0,5.0,5.0,0.25,0.0,0.25,0.0,16585.0,16585.0,1.0,20.0
DCE,a2311,豆一2311,a,10,0.000000,2.0,0.000000,2.0,0.000000,2.0,5107.0,113186,115970.0,2.0,2.0,2.0,0.18,0.0,0.18,0.0,9192.6,9192.6,1.0,10.0
DCE,b2311,豆二2311,b,10,0.000000,2.0,0.000000,2.0,0.000000,2.0,4688.0,73627,70492.0,2.0,2.0,2.0,0.15,0.0,0.15,0.0,7032.0,7032.0,1.0,10.0
CZCE,ZC312,煤12月,ZC,100,0.000000,3.0,0.000000,3.0,0.000000,0.0,801.4,0,0.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,16028.0,16028.0,0.2,20.0
SHFE,ag2312,ag2312,ag,15,0.000010,0.0,0.000010,0.0,0.000000,0.0,5891.000000000001,549747,574582.0,0.8836500000000003,0.8836500000000003,0.0,0.19,0.0,0.19,0.0,16789.350000000002,16789.350000000002,1.0,15.0
SHFE,al2312,al2312,al,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,19130.0,46907,90672.0,3.0,3.0,0.0,0.16,0.0,0.16,0.0,15304.0,15304.0,5.0,25.0
SHFE,bu2412,bu2412,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3629.0000000000005,20,1833.0,3.629000000000001,3.629000000000001,3.629000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6169.300000000001,6169.300000000001,1.0,10.0
INE,bc2312,bc2312,bc,5,0.000010,0.0,0.000010,0.0,0.000000,0.0,60810.00000000001,2274,20688.0,3.0405000000000006,3.0405000000000006,0.0,0.16,0.0,0.16,0.0,48648.00000000001,48648.00000000001,10.0,50.0
INE,nr2312,nr2312,nr,10,0.000000,10.0,0.000000,10.0,0.000000,10.0,10670.000000000002,18901,41456.0,10.0,10.0,10.0,0.16999999999999998,0.0,0.16999999999999998,0.0,18139.0,18139.0,5.0,50.0
SHFE,cu2312,cu2312,cu,5,0.000050,0.0,0.000050,0.0,0.000000,0.0,68280.0,17547,73244.0,17.07,17.07,0.0,0.16,0.0,0.16,0.0,54624.0,54624.0,10.0,50.0
SHFE,hc2312,hc2312,hc,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3893.0000000000005,371,3525.0,3.893000000000001,3.893000000000001,3.893000000000001,0.16,0.0,0.16,0.0,6228.800000000001,6228.800000000001,1.0,10.0
SHFE,ni2312,ni2312,ni,1,0.000000,1.0,0.000000,1.0,0.000000,0.0,158560.0,22244,13989.0,1.0,1.0,0.0,0.21000000000000002,0.0,0.21000000000000002,0.0,33297.600000000006,33297.600000000006,10.0,10.0
SHFE,pb2312,pb2312,pb,5,0.000040,0.0,0.000040,0.0,0.000000,0.0,16675.0,12990,24303.0,3.3350000000000004,3.3350000000000004,0.0,0.16,0.0,0.16,0.0,13340.0,13340.0,5.0,25.0
SHFE,rb2312,rb2312,rb,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3767.0000000000005,8955,51541.0,3.767000000000001,3.767000000000001,3.767000000000001,0.16,0.0,0.16,0.0,6027.200000000002,6027.200000000002,1.0,10.0
SHFE,sn2312,sn2312,sn,1,0.000000,1.0,0.000000,1.0,0.000000,0.0,222010.00000000003,15894,6618.0,1.0,1.0,0.0,0.2,0.0,0.2,0.0,44402.00000000001,44402.00000000001,10.0,10.0
SHFE,sp2312,sp2312,sp,10,0.000050,0.0,0.000050,0.0,0.000000,0.0,5862.000000000001,16428,38085.0,2.9310000000000005,2.9310000000000005,0.0,0.15,0.0,0.15,0.0,8793.0,8793.0,2.0,20.0
SHFE,ss2312,ss2312,ss,5,0.000000,2.0,0.000000,2.0,0.000000,0.0,15205.000000000002,32114,28468.0,2.0,2.0,0.0,0.2,0.0,0.2,0.0,15205.000000000004,15205.000000000004,5.0,25.0
SHFE,wr2312,wr2312,wr,10,0.000040,0.0,0.000040,0.0,0.000040,0.0,4403.0,0,0.0,1.7612,1.7612,1.7612,0.25,0.0,0.25,0.0,11007.5,11007.5,1.0,10.0
SHFE,zn2312,zn2312,zn,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,21235.000000000004,24718,33518.0,3.0,3.0,0.0,0.16,0.0,0.16,0.0,16988.000000000004,16988.000000000004,5.0,25.0
DCE,rr2312,粳米2312,rr,10,0.000000,4.0,0.000000,4.0,0.000000,4.0,3578.0,2358,13050.0,4.0,4.0,4.0,0.12,0.0,0.12,0.0,4293.599999999999,4293.599999999999,1.0,10.0
DCE,v2312,聚氯乙烯2312,v,5,0.000000,2.0,0.000000,2.0,0.000000,0.0,6312.0,17853,66545.0,2.0,2.0,0.0,0.18,0.0,0.18,0.0,5680.8,5680.8,1.0,5.0
DCE,y2312,豆油2312,y,10,0.000000,2.5,0.000000,2.5,0.000000,1.25,7990.0,2568,32878.0,2.5,2.5,1.25,0.13999999999999999,0.0,0.13999999999999999,0.0,11185.999999999998,11185.999999999998,2.0,20.0
CZCE,AP312,苹果12月,AP,10,0.000000,5.0,0.000000,5.0,0.000000,5.0,8960.0,773,4264.0,5.0,5.0,5.0,0.15,0.0,0.15,0.0,13440.0,13440.0,1.0,10.0
CZCE,CJ312,红枣12月,CJ,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,13450.0,288,2821.0,3.0,3.0,0.0,0.18,0.0,0.18,0.0,12105.0,12105.0,5.0,25.0
INE,nr2311,nr2311,nr,10,0.000000,10.0,0.000000,10.0,0.000000,10.0,10720.000000000002,39254,71562.0,10.0,10.0,10.0,0.16999999999999998,0.0,0.16999999999999998,0.0,18224.0,18224.0,5.0,50.0
SHFE,al2311,al2311,al,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,19255.0,152289,198862.0,3.0,3.0,0.0,0.16,0.0,0.16,0.0,15404.0,15404.0,5.0,25.0
SHFE,bu2311,bu2311,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3872.0000000000005,205824,228655.0,3.8720000000000008,3.8720000000000008,3.8720000000000008,0.16999999999999998,0.0,0.16999999999999998,0.0,6582.400000000001,6582.400000000001,1.0,10.0
SHFE,cu2311,cu2311,cu,5,0.000050,0.0,0.000050,0.0,0.000000,0.0,68390.0,51333,128454.0,17.0975,17.0975,0.0,0.16,0.0,0.16,0.0,54712.0,54712.0,10.0,50.0
